,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
42,Tristan Dekker,nlNED,MF,VPS,27-080,1998,8,7,534,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
43,Jelle van der Heyden,nlNED,MF,IFK Mariehamn,29-288,1995,3,1,94,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Prosper Deyegbe,ghGHA,MF,VPS,26-036,1999,9,9,760,8.4,1,1,2,1,0,0,4,1,0.12,0.12,0.24,0.12,0.24,Matches
45,Madou Diakité,mlMLI,GK,KTP,20-328,2004,1,0,62,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
46,Abu Dumbuya,slSLE,MF,AC Oulu,26-137,1999,8,6,508,5.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Constantine Edlund,usUSA,MF,KTP,20-330,2004,9,2,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
48,Franck-Landry Elle Essouma,cmCMR,MF,KTP,24-364,2000,8,3,309,3.4,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches
49,Jesper Engström,fiFIN,DF,VPS,33-052,1992,6,3,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Daniel Enqvist,fiFIN,DF,IFK Mariehamn,23-271,2001,8,8,620,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Roman Eremenko,fiFIN,MF,IF Gnistan,38-088,1987,7,7,629,7.0,1,3,4,1,0,0,1,0,0.14,0.43,0.57,0.14,0.57,Matches
52,Sergei Eremenko,fiFIN,"MF,FW",FF Jaro,26-160,1999,10,10,890,9.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
53,William Eskelinen,seSWE,GK,AC Oulu,28-285,1996,9,9,783,8.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
54,Loic Essomba,cmCMR,FW,Inter Turku,21-196,2003,10,10,803,8.9,1,3,4,1,0,0,1,0,0.11,0.34,0.45,0.11,0.45,Matches
55,Mmenie-Abasi Etok,ngNGA,MF,VPS,21-225,2003,4,0,99,1.1,0,1,1,0,0,0,1,0,0.00,0.91,0.91,0.00,0.91,Matches
56,Gabriel Europaeus,fiFIN,"MF,DF",IF Gnistan,20-032,2005,9,2,414,4.6,1,0,1,1,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches
