Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
418,Noah Okafor,chSUI,"FW,MF",Napoli,24,2000,4,0,40,0.4,0,0,0,0,0,0,0,0,0,0,0.6,0.7,7,1,6,0,0,0,0,0,0.04,1.43,1.47,0.04,1.47,Matches
419,Yllan Okou,frFRA,DF,Hellas Verona,21,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
420,Maduka Okoye,ngNGA,GK,Udinese,24,1999,25,25,"2,250",25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
421,Mathías Olivera,uyURU,DF,Napoli,26,1997,32,26,"2,370",26.3,0,2,2,0,0,0,4,0,1.1,1.1,1.7,2.8,46,126,62,0,0.08,0.08,0,0.08,0.04,0.07,0.11,0.04,0.11,Matches
422,Jean Onana,cmCMR,MF,Genoa,24,2000,9,2,304,3.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,11,4,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches
423,Jacob Ondrejka,seSWE,"MF,FW",Parma,21,2002,12,3,422,4.7,5,0,5,5,0,0,0,0,1.3,1.3,0.6,1.9,13,11,21,1.07,0,1.07,1.07,1.07,0.27,0.13,0.4,0.27,0.4,Matches
424,Gaetano Oristanio,itITA,"FW,MF",Venezia,21,2002,37,29,"2,315",25.7,3,3,6,3,0,0,3,0,4.1,4.1,2.6,6.8,72,64,131,0.12,0.12,0.23,0.12,0.23,0.16,0.1,0.26,0.16,0.26,Matches
425,Riccardo Orsolini,itITA,FW,Bologna,27,1997,30,23,"1,878",20.9,15,4,19,12,3,3,2,0,10.1,7.8,3.7,11.5,61,69,186,0.72,0.19,0.91,0.58,0.77,0.49,0.18,0.66,0.37,0.55,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
426,Yordan Osorio,veVEN,DF,Parma,30,1994,3,2,172,1.9,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,3,0,0,0,0,0,0,0.01,0.07,0.08,0.01,0.08,Matches
427,Sebastian Otoa,dkDEN,DF,Genoa,20,2004,3,3,179,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
428,Remi Oudin,frFRA,"MF,FW",Lecce,27,1996,11,3,299,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,2,13,16,0,0,0,0,0,0.04,0.18,0.22,0.04,0.22,Matches
429,Cheick Oumar Conde,gnGUI,MF,Venezia,24,2000,9,1,151,1.7,0,0,0,0,0,0,2,0,0,0,0,0,2,8,5,0,0,0,0,0,0.01,0.01,0.02,0.01,0.02,Matches
430,Daniel Oyegoke,engENG,DF,Hellas Verona,21,2003,5,0,103,1.1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,5,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
431,Daniele Padelli,itITA,GK,Udinese,38,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
432,Simone Pafundi,itITA,"MF,DF",Udinese,18,2006,9,0,116,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.7,0.7,3,0,7,0,0,0,0,0,0.05,0.52,0.57,0.05,0.57,Matches
433,Tomás Palacios,arARG,DF,Monza,21,2003,8,5,446,5,0,0,0,0,0,0,2,0,0,0,0,0,3,21,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
434,Tomás Palacios,arARG,DF,Inter,21,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
435,Alberto Paleari,itITA,GK,Torino,31,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
436,Marco Palestra,itITA,DF,Atalanta,19,2005,9,2,222,2.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,13,6,14,0,0,0,0,0,0,0.1,0.1,0,0.1,Matches
