Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
344,Rúben Neves,ptPOR,MF,Al-Hilal,27,1997,26,26,"2,235",24.8,1,8,9,0,1,2,5,0,0.04,0.32,0.36,0,0.32,Matches
345,Meshari Al Nimr,saKSA,"FW,MF",Damac,,,23,7,760,8.4,2,0,2,2,0,0,2,1,0.24,0,0.24,0.24,0.24,Matches
346,Florin Niță,roROU,GK,Damac,37,1987,31,31,"2,790",31,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
347,Abdulaziz Noor,saKSA,"FW,MF",Al-Wehda,25,1999,19,13,"1,125",12.5,7,0,7,7,0,0,3,0,0.56,0,0.56,0.56,0.56,Matches
348,Mathias Normann,noNOR,MF,Al-Raed,28,1996,22,21,"1,766",19.6,1,1,2,1,0,0,5,1,0.05,0.05,0.1,0.05,0.1,Matches
349,Hussain Al Nuweqi,saKSA,DF,Al-Riyadh SC,28,1995,20,16,"1,305",14.5,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
350,Abdurahman Al-Obaid,saKSA,"DF,MF",Damac,31,1993,23,8,935,10.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
351,Ambrose Ochigbo,ngNGA,MF,Al Kholood Saudi Club,20,2003,6,0,98,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
352,Saleh Al Ohaymid,saKSA,GK,Al-Raed,26,1998,2,1,118,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
353,Madallah Al-Olayan,saKSA,"DF,MF",Al-Ettifaq,29,1994,26,20,"1,600",17.8,1,1,2,1,0,0,8,0,0.06,0.06,0.11,0.06,0.11,Matches
354,Henry Onyekuru,ngNGA,FW,Al-Fayha,27,1997,4,2,146,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
355,Radi Al Otaibi,saKSA,"DF,MF",Al-Ettifaq,24,2000,27,20,"1,833",20.4,0,1,1,0,0,0,4,0,0,0.05,0.05,0,0.05,Matches
356,Otávio,ptPOR,MF,Al-Nassr,29,1995,28,26,"2,167",24.1,1,5,6,1,0,0,3,0,0.04,0.21,0.25,0.04,0.25,Matches
357,Abdulaziz Al Othman,saKSA,"MF,FW",Al-Qadsiah,20,2004,26,6,852,9.5,4,0,4,4,0,0,2,0,0.42,0,0.42,0.42,0.42,Matches
358,Othman Al Othman,saKSA,MF,Al-Fateh,21,2003,23,9,786,8.7,0,1,1,0,0,0,6,0,0,0.11,0.11,0,0.11,Matches
359,Meshari Al Oufi,,MF,Al Kholood Saudi Club,,,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
360,Mohammed Al-Owais,saKSA,GK,Al-Hilal,32,1991,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
361,Abdullah Al-Owaishir,saKSA,GK,Al-Wehda,33,1991,27,27,"2,409",26.8,0,1,1,0,0,0,1,0,0,0.04,0.04,0,0.04,Matches
362,Raed Ozaybi,saKSA,GK,Al-Khaleej,22,2001,9,9,810,9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
363,Juan Pedroza,coCOL,MF,Al Okhdood SC,25,1999,31,31,"2,699",30,1,2,3,1,0,0,5,0,0.03,0.07,0.1,0.03,0.1,Matches
364,Danilo Pereira,ptPOR,DF,Al-Ittihad,32,1991,26,25,"2,258",25.1,2,0,2,2,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
365,Petros,brBRA,MF,Al Okhdood SC,35,1989,25,24,"2,076",23.1,0,1,1,0,0,0,10,0,0,0.04,0.04,0,0.04,Matches
366,Daniel Podence,ptPOR,"FW,MF",Al-Shabab,28,1995,19,18,"1,400",15.6,2,7,9,2,0,0,5,1,0.13,0.45,0.58,0.13,0.58,Matches
367,Alejandro Pozuelo,esESP,"MF,FW",Al-Fayha,32,1991,30,26,"2,246",25,4,4,8,4,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches
368,Cameron Puertas,chSUI,MF,Al-Qadsiah,25,1998,32,31,"2,586",28.7,3,9,12,3,0,0,3,0,0.1,0.31,0.42,0.1,0.42,Matches
369,Abdullah Al Qahtani,saKSA,MF,Damac,25,1999,4,1,81,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
370,Husain Al Qahtani,saKSA,MF,Al-Qadsiah,29,1994,25,6,651,7.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
371,Mohammed Al Qahtani,saKSA,MF,Al-Hilal,22,2002,21,8,694,7.7,2,0,2,2,0,0,0,0,0.26,0,0.26,0.26,0.26,Matches
372,Saad Al Qahtani,,DF,Al-Wehda,,,7,0,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
373,Muhannad Al Qaidhi,saKSA,DF,Al Okhdood SC,26,1998,26,19,"1,779",19.8,1,0,1,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches
374,Nawaf Al Qamiri,saKSA,"MF,DF",Al-Orobah,23,2001,13,3,388,4.3,0,1,1,0,0,0,0,0,0,0.23,0.23,0,0.23,Matches
375,Mohammed Al-Qarni,saKSA,MF,Al-Orobah,34,1989,21,11,"1,035",11.5,0,0,0,0,0,0,5,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
376,Ayoub Qasmi,maMAR,DF,Al-Raed,30,1993,27,26,"2,217",24.6,1,0,1,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches
377,Hussain Qassem,saKSA,"MF,DF",Al-Fateh,26,1997,11,3,240,2.7,0,1,1,0,0,0,2,1,0,0.37,0.37,0,0.37,Matches
378,Mohammed Qassem,saKSA,"MF,DF",Al-Qadsiah,29,1995,24,2,704,7.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
379,Emad Qaysi,saKSA,MF,Al-Shabab,17,2006,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
380,Julián Quiñones,mxMEX,"FW,MF",Al-Qadsiah,27,1997,28,28,"2,437",27.1,20,5,25,18,2,2,6,1,0.74,0.18,0.92,0.66,0.85,Matches
381,Abdullah Radif,saKSA,FW,Al-Ettifaq,21,2003,28,13,"1,155",12.8,3,1,4,3,0,0,2,2,0.23,0.08,0.31,0.23,0.31,Matches
382,Saif Rajab,,FW,Al-Qadsiah,,,12,0,243,2.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
383,Mobarak Al Rajeh,saKSA,DF,Al-Raed,20,2003,26,22,"1,934",21.5,0,1,1,0,0,0,7,0,0,0.05,0.05,0,0.05,Matches
384,Predrag Rajković,rsSRB,GK,Al-Ittihad,28,1995,28,28,"2,446",27.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
385,Khaled Al Rammah,saKSA,MF,Al-Fayha,19,2005,6,3,331,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
386,Vinicius Rangel,brBRA,"DF,MF",Al-Fayha,20,2004,11,4,431,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
387,Fraj Al Rashid,saKSA,FW,Al-Orobah,20,2004,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
388,Abdullah Al-Rashidi,saKSA,MF,Al Kholood Saudi Club,,,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
389,Ahmed Al Rashidi,saKSA,GK,Al-Wehda,22,2002,2,1,111,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
390,Fahad Al Rashidi,saKSA,MF,Al-Ahli,27,1997,22,1,263,2.9,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
391,Fahad Al-Rashidi,saKSA,MF,Al-Orobah,33,1991,21,16,"1,396",15.5,0,0,0,0,0,0,6,0,0,0,0,0,0,Matches
392,Noor Al Rashidi,saKSA,DF,Damac,29,1995,18,5,690,7.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
393,Pedro Rebocho,ptPOR,DF,Al-Khaleej,29,1995,33,33,"2,951",32.8,0,7,7,0,0,0,3,0,0,0.21,0.21,0,0.21,Matches
394,Robert Renan,brBRA,DF,Al-Shabab,20,2003,31,30,"2,710",30.1,0,4,4,0,0,0,7,0,0,0.13,0.13,0,0.13,Matches
395,Renne Rivas,veVEN,DF,Al-Taawoun,21,2003,24,14,"1,432",15.9,1,1,2,1,0,0,5,0,0.06,0.06,0.13,0.06,0.13,Matches
396,Marek Rodák,skSVK,GK,Al-Ettifaq,27,1996,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
397,Cristiano Ronaldo,ptPOR,FW,Al-Nassr,39,1985,30,30,"2,620",29.1,25,3,28,17,8,9,2,0,0.86,0.1,0.96,0.58,0.69,Matches
398,Saeed Al Rubaie,saKSA,DF,Al Okhdood SC,30,1994,27,27,"2,398",26.6,1,1,2,1,0,0,9,1,0.04,0.04,0.08,0.04,0.08,Matches
