Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
84,Elyess Dao,maMAR,"MF,FW",Anderlecht,17,2006,2,0,5,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,0,1,0,0,0,0,0,1.84,0,1.84,1.84,1.84,Matches
85,Gabriel David,ngNGA,"MF,FW",Antwerp,17,2007,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
86,Promise David,caCAN,FW,Union SG,23,2001,24,16,"1,377",15.3,11,4,15,7,4,4,6,0,12,8.8,3.7,12.5,31,30,119,0.72,0.26,0.98,0.46,0.72,0.78,0.24,1.02,0.58,0.82,Matches
87,Maxim De Cuyper,beBEL,DF,Club Brugge,23,2000,27,24,"2,209",24.5,2,4,6,1,1,1,3,0,2.7,1.9,9.1,11.1,33,186,167,0.08,0.16,0.24,0.04,0.2,0.11,0.37,0.48,0.08,0.45,Matches
88,Gilles De Meyer,beBEL,DF,Gent,17,2006,4,0,18,0.2,1,0,1,1,0,0,0,0,0,0,0,0,0,2,1,5,0,5,5,5,0.08,0,0.08,0.08,0.08,Matches
89,Dion De Neve,beBEL,DF,Kortrijk,22,2002,26,20,"1,835",20.4,2,3,5,2,0,0,0,0,1.3,1.3,3.6,4.8,61,56,163,0.1,0.15,0.25,0.1,0.25,0.06,0.18,0.24,0.06,0.24,Matches
90,Kamiel Van De Perre,beBEL,MF,Union SG,20,2004,14,3,438,4.9,0,0,0,0,0,0,1,0,0.5,0.5,0.6,1,8,27,16,0,0,0,0,0,0.1,0.11,0.21,0.1,0.21,Matches
91,Tibe De Vlieger,beBEL,"FW,DF",Gent,18,2005,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,7,4,0,0,0,0,0,0,0.3,0.3,0,0.3,Matches
92,Nils De Wilde,beBEL,MF,Cercle Brugge,21,2003,8,0,115,1.3,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,9,1,0,0,0,0,0,0.04,0.14,0.18,0.04,0.18,Matches
93,Ortwin De Wolf,beBEL,GK,Mechelen,27,1997,30,30,"2,700",30,0,0,0,0,0,0,1,0,0,0,0.1,0.1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
94,Max Dean,engENG,FW,Gent,20,2004,17,12,971,10.8,6,1,7,5,1,1,3,0,5.3,4.5,1.2,5.6,15,33,64,0.56,0.09,0.65,0.46,0.56,0.49,0.11,0.6,0.42,0.52,Matches
95,Théo Defourny,beBEL,GK,Charleroi,32,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
96,Tristan Degreef,beBEL,"FW,MF",Anderlecht,19,2005,10,4,380,4.2,0,0,0,0,0,0,4,0,0.1,0.1,0.4,0.5,13,19,25,0,0,0,0,0,0.04,0.09,0.12,0.04,0.12,Matches
97,Brecht Dejaegere,beBEL,"MF,DF",Kortrijk,33,1991,22,16,"1,357",15.1,1,1,2,1,0,0,4,0,1.7,1.7,1.1,2.7,26,69,83,0.07,0.07,0.13,0.07,0.13,0.11,0.07,0.18,0.11,0.18,Matches
