Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
103,Rubén Cordano,boBOL,GK,Bolívar,26-242,1998,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
104,Leandro Corulo,arARG,DF,Real Tomayapo,36-013,1989,9,9,797,8.9,4,0,4,0,4,4,2,0,0.45,0,0.45,0,0,Matches
105,Gustavo Cristaldo,pyPAR,MF,Indep Petrolero,36-015,1989,9,7,498,5.5,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
106,Jonatan Cristaldo,arARG,FW,Oriente Petrolero,36-102,1989,7,4,349,3.9,3,0,3,3,0,0,0,0,0.77,0,0.77,0.77,0.77,Matches
107,Guilder Cuellar,boBOL,MF,FC Universitario,26-025,1999,4,0,70,0.8,1,0,1,1,0,0,0,0,1.29,0,1.29,1.29,1.29,Matches
108,Héctor Cuellar,boBOL,DF,Always Ready,24-303,2000,9,9,810,9,0,1,1,0,0,0,2,0,0,0.11,0.11,0,0.11,Matches
109,Juan Cuellar,boBOL,MF,FC Universitario,18-170,2006,9,9,801,8.9,0,1,1,0,0,0,2,1,0,0.11,0.11,0,0.11,Matches
110,Ronald Cuéllar,boBOL,DF,Real Oruro,28-006,1997,6,0,116,1.3,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
111,Victor Cuellar,boBOL,MF,Oriente Petrolero,24-265,2000,5,1,108,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
112,Santiago Cuiza,boBOL,DF,Real Tomayapo,19-364,2005,4,3,315,3.5,0,1,1,0,0,0,0,0,0,0.29,0.29,0,0.29,Matches
113,Marcelo De Lima Castro,boBOL,DF,San Antonio Bulo Bulo,20-068,2005,4,3,211,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
114,Matías Delgadillo,boBOL,DF,Wilstermann,19-315,2005,1,0,45,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
115,Luis Demiquel,boBOL,DF,Nacional Potosí,25-151,2000,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
116,Hugo Denar Salvatierra,boBOL,MF,Real Oruro,22-151,2003,3,2,165,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
117,Diego Diellos,arARG,FW,Nacional Potosí,31-264,1993,6,3,234,2.6,1,0,1,1,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
118,Roberto Diez,boBOL,DF,Oriente Petrolero,21-128,2004,6,5,477,5.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
119,Denilson Durán,boBOL,DF,Blooming,22-083,2003,8,7,520,5.8,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
120,Santiago Echeverría,arARG,DF,Nacional Potosí,35-079,1990,7,7,630,7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
121,Cristian Enciso,pyPAR,DF,Aurora,34-034,1991,7,7,619,6.9,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
122,Marc Enoumba,boBOL,FW,Blooming,32-103,1993,8,7,588,6.5,1,0,1,1,0,0,3,0,0.15,0,0.15,0.15,0.15,Matches
123,Bladimir Escalante,boBOL,MF,Blooming,16-208,2008,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
124,Roland Escobar,pyPAR,FW,Aurora,24-035,2001,7,5,448,5,3,1,4,3,0,0,1,0,0.6,0.2,0.8,0.6,0.8,Matches
125,Yerson Espíndola,boBOL,MF,Real Tomayapo,17-307,2007,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,Bryan Espinoza,boBOL,FW,ABB,22-163,2003,2,1,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
127,Santiago Etchebarne,uyURU,DF,Blooming,30-287,1994,6,5,414,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
128,Fábio,brBRA,FW,Bolívar,28-021,1997,9,7,601,6.7,6,3,9,6,0,1,0,0,0.9,0.45,1.35,0.9,1.35,Matches
