Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
203,Andreas Lukse,atAUT,GK,Blau-Weiß Linz,36,1987,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Daniel Maderner,atAUT,FW,Grazer AK,28,1995,28,21,"1,879",20.9,7,3,10,6,1,1,6,0,0.34,0.14,0.48,0.29,0.43
205,Thorsten Mahrer,atAUT,DF,SK Austria Klagenfurt,34,1990,29,29,"2,569",28.5,0,0,0,0,0,0,3,1,0,0,0,0,0
206,Arjan Malic,baBIH,DF,Sturm Graz,18,2005,11,3,369,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0
207,Maurice Malone,deGER,"FW,MF",Austria Wien,23,2000,31,31,"2,492",27.7,11,3,14,11,0,0,6,0,0.4,0.11,0.51,0.4,0.51
208,Cheikh Mamadou Diabaté,ciCIV,DF,Wolfsberger AC,20,2004,22,9,982,10.9,0,1,1,0,0,0,2,0,0,0.09,0.09,0,0.09
209,Manuel Maranda,atAUT,DF,Blau-Weiß Linz,27,1997,32,32,"2,880",32,0,0,0,0,0,0,2,0,0,0,0,0,0
210,Luka Marić,atAUT,GK,Hartberg,22,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Benjamin Markuš,siSVN,MF,Hartberg,23,2001,29,22,"2,100",23.3,0,2,2,0,0,0,5,0,0,0.09,0.09,0,0.09
212,Boris Matić,rsSRB,"MF,DF",Wolfsberger AC,19,2004,22,12,"1,244",13.8,0,4,4,0,0,0,1,0,0,0.29,0.29,0,0.29
213,Philipp Maybach,atAUT,MF,Austria Wien,16,2007,7,4,231,2.6,0,0,0,0,0,0,2,0,0,0,0,0,0
214,Fally Mayulu,frFRA,FW,Sturm Graz,22,2002,2,1,70,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
215,Jakob Meierhofer,atAUT,GK,Grazer AK,26,1997,17,17,"1,530",17,0,0,0,0,0,0,1,0,0,0,0,0,0
216,John Mellberg,seSWE,DF,RB Salzburg,18,2006,5,4,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Paul Mensah,ghGHA,"MF,FW",Blau-Weiß Linz,24,1999,11,4,475,5.3,0,0,0,0,0,0,3,1,0,0,0,0,0
218,Emmanuel Michael,ngNGA,DF,LASK,18,2006,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
219,Armin Midzic,atAUT,DF,LASK,18,2006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,Patrik Mijić,hrCRO,FW,Hartberg,25,1998,32,25,"1,961",21.8,12,2,14,10,2,2,1,0,0.55,0.09,0.64,0.46,0.55
221,Filip Milojević,atAUT,MF,SCR Altach,19,2005,5,0,109,1.2,0,0,0,0,0,0,1,0,0,0,0,0,0
222,Danilo Mitrović,rsSRB,"DF,MF",Blau-Weiß Linz,23,2001,13,6,622,6.9,1,0,1,1,0,0,1,0,0.14,0,0.14,0.14,0.14
223,Martin Moormann,atAUT,DF,Blau-Weiß Linz,23,2001,22,22,"1,740",19.3,0,0,0,0,0,0,5,0,0,0,0,0,0
224,Leandro Morgalla,deGER,DF,RB Salzburg,19,2004,16,13,891,9.9,0,1,1,0,0,0,0,0,0,0.1,0.1,0,0.1
225,Pascal Müller,atAUT,MF,Wolfsberger AC,21,2003,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
