Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90
290,Konstantin Schopp,atAUT,DF,Sturm Graz,18,2005,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0
291,Tristan Schoppitsch,atAUT,MF,SK Austria Klagenfurt,17,2006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Thorsten Schriebl,atAUT,MF,Grazer AK,25,1998,22,10,"1,046",11.6,0,0,0,0,0,0,6,2,0,0,0,0,0
293,Jannik Schuster,atAUT,DF,RB Salzburg,18,2006,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
294,Tobias Schützenauer,atAUT,GK,LASK,27,1997,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Aaron Schwarz,atAUT,MF,SK Austria Klagenfurt,20,2004,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Aaron Schwarz,atAUT,MF,Hartberg,20,2004,5,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,0
297,Matthias Seidl,atAUT,MF,Rapid Wien,23,2001,32,30,"2,504",27.8,2,6,8,2,0,0,0,0,0.07,0.22,0.29,0.07,0.29
298,Simon Seidl,atAUT,"MF,FW",Blau-Weiß Linz,21,2002,31,26,"1,861",20.7,4,3,7,4,0,0,3,0,0.19,0.15,0.34,0.19,0.34
299,Ismaïl Seydi,frFRA,FW,Rapid Wien,23,2001,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Jörg Siebenhandl,atAUT,GK,LASK,34,1990,11,10,892,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
301,Stefan Skrbo,atAUT,"FW,MF",WSG Tirol,23,2001,24,16,"1,429",15.9,4,2,6,4,0,0,6,0,0.25,0.13,0.38,0.25,0.38
302,Hrvoje Smolčić,hrCRO,DF,LASK,23,2000,21,18,"1,570",17.4,3,0,3,3,0,0,4,0,0.17,0,0.17,0.17,0.17
303,Emran Soglo,engENG,DF,Sturm Graz,19,2005,3,1,83,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0
304,Simon Spari,atAUT,GK,SK Austria Klagenfurt,22,2002,27,27,"2,430",27,0,1,1,0,0,0,0,0,0,0.04,0.04,0,0.04
305,Adam Stejskal,czCZE,GK,WSG Tirol,21,2002,32,31,"2,800",31.1,0,0,0,0,0,0,3,0,0,0,0,0,0
306,Dejan Stojanović,atAUT,GK,SCR Altach,31,1993,29,29,"2,610",29,0,0,0,0,0,0,1,0,0,0,0,0,0
307,Filip Stojković,meMNE,DF,LASK,31,1993,13,11,"1,068",11.9,0,1,1,0,0,0,3,1,0,0.08,0.08,0,0.08
308,Simon Straudi,itITA,"MF,DF",SK Austria Klagenfurt,25,1999,24,20,"1,602",17.8,0,0,0,0,0,0,6,0,0,0,0,0,0
309,Fabio Strauss,atAUT,DF,Blau-Weiß Linz,29,1994,14,8,728,8.1,0,0,0,0,0,0,1,1,0,0,0,0,0
310,Oliver Strunz,atAUT,"FW,MF",SCR Altach,24,2000,15,9,809,9,0,0,0,0,0,0,3,0,0,0,0,0,0
311,Lukas Sulzbacher,atAUT,"MF,DF",WSG Tirol,24,2000,18,17,"1,458",16.2,0,0,0,0,0,0,6,0,0,0,0,0,0
312,Valentin Sulzbacher,atAUT,MF,RB Salzburg,19,2005,6,5,327,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0
313,Marco Sulzner,atAUT,"DF,MF",LASK,21,2003,7,3,246,2.7,0,0,0,0,0,0,1,0,0,0,0,0,0
314,Abou Sylla,ciCIV,,Wolfsberger AC,17,2006,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
