Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
498,Niama Sissoko,mlMLI,"FW,MF",Reims,18,2005,4,0,47,0.5,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,1,1,2,0,0,0,0,0,0.54,0,0.54,0.54,0.54,Matches
499,Leo Skiri Østigård,noNOR,DF,Rennes,24,1999,16,14,"1,227",13.6,1,0,1,1,0,0,4,0,0.7,0.7,0.2,0.9,3,50,1,0.07,0,0.07,0.07,0.07,0.05,0.02,0.07,0.05,0.07,Matches
500,Milan Škriniar,skSVK,DF,Paris S-G,29,1995,5,4,382,4.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,20,0,0,0,0,0,0,0.04,0.02,0.06,0.04,0.06,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Naatan Skyttä,fiFIN,FW,Toulouse,22,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
502,Eduard Sobol,uaUKR,DF,Strasbourg,29,1995,10,0,95,1.1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,Matches
503,Florian Sotoca,frFRA,"FW,MF",Lens,33,1990,31,22,"1,794",19.9,1,1,2,1,0,0,2,1,4.6,4.6,1.5,6.1,44,105,170,0.05,0.05,0.1,0.05,0.1,0.23,0.07,0.31,0.23,0.31,Matches
504,Issa Soumaré,snSEN,"FW,MF",Le Havre,23,2000,29,21,"1,902",21.1,5,4,9,5,0,0,0,0,3.8,3.8,3.1,6.9,61,45,144,0.24,0.19,0.43,0.24,0.43,0.18,0.15,0.33,0.18,0.33,Matches
505,Saidou Sow,gnGUI,DF,Strasbourg,22,2002,12,11,"1,018",11.3,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,0,16,2,0,0.09,0.09,0,0.09,0.03,0.01,0.04,0.03,0.04,Matches
506,Saidou Sow,gnGUI,DF,Nantes,22,2002,9,9,799,8.9,1,0,1,1,0,0,1,0,0.6,0.6,0.4,1.1,2,15,0,0.11,0,0.11,0.11,0.11,0.07,0.05,0.12,0.07,0.12,Matches
507,Lucas Stassin,beBEL,FW,Saint-Étienne,19,2004,28,23,"1,887",21,12,4,16,12,0,0,4,0,7,7,3.4,10.4,26,35,149,0.57,0.19,0.76,0.57,0.76,0.35,0.17,0.53,0.35,0.52,Matches
