,,,,Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
68,Edison Caicedo,ecECU,MF,El Nacional,35-094,1990,7,5,489,5.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
69,Elián Caicedo,ecECU,"FW,MF",Mushuc Runa,20-101,2005,12,6,684,7.6,3,4,7,3,0,0,0,0,0.39,0.53,0.92,0.39,0.92,Matches
70,Felipe Caicedo,ecECU,"FW,MF",Barcelona,36-283,1988,6,3,249,2.8,2,0,2,1,1,1,0,0,0.72,0.00,0.72,0.36,0.36,Matches
71,Jefferson Caicedo,ecECU,MF,Técnico Univ.,30-192,1994,13,8,738,8.2,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches
72,José Caicedo,ecECU,MF,Vinotinto,26-113,1999,14,3,354,3.9,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
73,Luis Caicedo,ecECU,DF,Delfín,27-264,1997,9,9,744,8.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Nestor Caicedo,ecECU,FW,Libertad,23-032,2002,15,6,653,7.3,5,0,5,5,0,0,1,0,0.69,0.00,0.69,0.69,0.69,Matches
75,Romario Caicedo,ecECU,"DF,MF",CS Emelec,35-023,1990,14,14,"1,259",14.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Richard Calderón,ecECU,MF,Deportivo Cuenca,31-355,1993,7,7,596,6.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Davis Camacho,ecECU,MF,Técnico Univ.,27-125,1998,8,5,488,5.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Gastón Campi,arARG,DF,Barcelona,34-070,1991,11,9,818,9.1,1,2,3,1,0,0,2,0,0.11,0.22,0.33,0.11,0.33,Matches
79,Joshua Canales,hnHON,MF,SD Aucas,24-330,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Luis Cangá,ecECU,DF,Univ Católica,29-362,1995,14,14,"1,260",14.0,0,1,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches
81,Luis Cano,ecECU,"MF,FW",SD Aucas,25-283,1999,7,4,344,3.8,1,1,2,1,0,0,1,0,0.26,0.26,0.52,0.26,0.52,Matches
82,Mateo Carabajal,arARG,DF,Independiente,28-114,1997,12,12,"1,080",12.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Bryan Carabalí,ecECU,DF,Barcelona,27-179,1997,11,9,848,9.4,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
