Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
164,Per Kristian Bråtveit,noNOR,GK,Strømsgodset,29-120,1996,8,8,720,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
165,Ole Kristian Enersen,noNOR,MF,Strømsgodset,22-282,2002,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
166,Ruben Kristiansen,noNOR,DF,Tromsø,37-115,1988,4,2,231,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
167,Stian Kristiansen,noNOR,DF,Sandefjord,26-160,1999,9,9,810,9,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
168,Oscar Krusnell,seSWE,"DF,MF",Haugesund,26-118,1999,9,9,692,7.7,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
169,Axel Kryger,noNOR,"DF,MF",Bryne,27-237,1997,9,9,793,8.8,1,0,1,0,1,1,2,0,0.11,0,0.11,0,0,Matches
170,Simen Kvia-Egeskog,noNOR,FW,Viking,22-020,2003,10,0,267,3,3,0,3,3,0,0,0,0,1.01,0,1.01,1.01,1.01,Matches
171,Simo Lampinen-Skaug,noNOR,GK,Strømsgodset,20-067,2005,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
172,Christian Landu Landu,noNOR,"DF,MF",Bryne,33-141,1992,4,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
173,Carl Lange,dkDEN,MF,Vålerenga,26-251,1998,10,10,854,9.5,1,0,1,1,0,0,2,0,0.11,0,0.11,0.11,0.11,Matches
174,Yann-Erik de Lanlay,noNOR,"FW,MF",Viking,33-032,1992,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
175,Michael Lansing,usUSA,GK,Kristiansund,31-002,1994,3,3,204,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
176,Heine Larsen,noNOR,"FW,MF",Bryne,22-341,2002,6,4,442,4.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
177,Mads Larsen,noNOR,DF,HamKam,19-067,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
178,Bruno Leite,cvCPV,MF,Haugesund,30-081,1995,7,6,438,4.9,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
179,Martin Linnes,noNOR,DF,Molde,33-268,1991,6,5,459,5.1,0,1,1,0,0,0,2,0,0,0.2,0.2,0,0.2,Matches
180,Momodou Lion Njie,gmGAM,DF,KFUM Oslo,23-187,2001,7,7,526,5.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
181,Filip Loftesnes-Bjune,noNOR,DF,Sandefjord,20-068,2005,7,7,590,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
182,Valdemar Lund,dkDEN,DF,Molde,22-018,2003,9,6,434,4.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
183,Odin Lurås Bjørtuft,noNOR,DF,Bodø/Glimt,26-178,1998,7,4,380,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
184,Isak Määttä,noNOR,FW,Bodø/Glimt,23-269,2001,7,2,264,2.9,0,1,1,0,0,0,1,0,0,0.34,0.34,0,0.34,Matches
185,Luc Mares,nlNED,DF,HamKam,28-255,1996,7,7,630,7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
186,Bjørn Martin Kristensen,phPHI,"FW,MF",KFUM Oslo,23-042,2002,9,5,506,5.6,0,1,1,0,0,0,2,0,0,0.18,0.18,0,0.18,Matches
187,Sebastian Mathisen,noNOR,FW,Sandefjord,20-012,2005,2,0,34,0.4,0,1,1,0,0,0,0,0,0,2.65,2.65,0,2.65,Matches
188,Ulrik Mathisen,noNOR,FW,Brann,26-148,1999,7,2,280,3.1,0,1,1,0,0,0,0,0,0,0.32,0.32,0,0.32,Matches
189,Moses Mawa,noNOR,FW,HamKam,28-315,1996,8,7,574,6.4,2,0,2,2,0,0,1,0,0.31,0,0.31,0.31,0.31,Matches
190,Marcus Mehnert,noNOR,"MF,FW",Strømsgodset,27-230,1997,8,8,627,7,0,2,2,0,0,0,1,0,0,0.29,0.29,0,0.29,Matches
191,Marcus Melchior,noNOR,MF,Sandefjord,24-126,2001,9,7,547,6.1,1,2,3,1,0,0,1,0,0.16,0.33,0.49,0.16,0.49,Matches
192,Olav Mengshoel,noNOR,FW,HamKam,16-346,2008,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
193,Patrick Metcalfe,caCAN,MF,Fredrikstad,26-216,1998,10,9,766,8.5,1,0,1,1,0,0,0,0,0.12,0,0.12,0.12,0.12,Matches
194,Loris Mettler,chSUI,MF,Sandefjord,26-183,1998,8,4,349,3.9,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
195,Hilmir Mikaelsson,isISL,FW,Viking,21-133,2004,7,1,153,1.7,2,0,2,1,1,1,0,0,1.18,0,1.18,0.59,0.59,Matches
196,August Mikkelsen,noNOR,FW,Tromsø,24-234,2000,7,4,344,3.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
197,Brede Moe,noNOR,DF,Bodø/Glimt,33-182,1991,2,1,105,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
198,Stian Molde,noNOR,"MF,DF",Fredrikstad,28-178,1996,10,8,709,7.9,1,0,1,1,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches
199,Nikolaj Moller,seSWE,FW,Strømsgodset,22-330,2002,9,3,404,4.5,1,0,1,0,1,1,0,0,0.22,0,0.22,0,0,Matches
200,Mame Mor Ndiaye,snSEN,FW,KFUM Oslo,28-023,1997,2,0,18,0.2,1,0,1,1,0,0,0,0,5,0,5,5,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
201,Duarte Moreira,ptPOR,"FW,MF",Bryne,23-259,2001,9,9,727,8.1,4,2,6,4,0,0,0,0,0.5,0.25,0.74,0.5,0.74,Matches
202,Mathias Mork,noNOR,MF,Molde,17-323,2007,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
203,Jonas Mortensen,dkDEN,DF,Rosenborg,24-150,2001,3,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
204,Felix Myhre,noNOR,MF,Brann,26-103,1999,11,11,990,11,2,3,5,2,0,0,1,0,0.18,0.27,0.45,0.18,0.45,Matches
205,Mats Møller Dæhli,noNOR,"MF,FW",Molde,30-105,1995,8,7,592,6.6,0,1,1,0,0,0,0,0,0,0.15,0.15,0,0.15,Matches
206,Faveur Ndayizeye,noNOR,DF,Molde,17-052,2008,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
207,Mamour Ndiaye,snSEN,GK,Sarpsborg 08,19-236,2005,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
208,Alioune Ndour,snSEN,FW,Kristiansund,27-237,1997,10,8,643,7.1,2,0,2,0,2,2,0,0,0.28,0,0.28,0,0,Matches
209,Tomáš Nemčík,skSVK,DF,Rosenborg,24-057,2001,9,9,805,8.9,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
210,Villads Nielsen,dkDEN,DF,Bodø/Glimt,20-137,2005,3,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
211,Alexander Nilsson,seSWE,GK,HamKam,27-297,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
212,Claus Niyukuri,biBDI,DF,Haugesund,25-122,2000,5,5,316,3.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
213,Moussa Njie,noNOR,"MF,FW",KFUM Oslo,29-256,1995,6,6,476,5.3,2,0,2,2,0,0,0,0,0.38,0,0.38,0.38,0.38,Matches
214,Vinícius Nogueira,brBRA,DF,Vålerenga,23-186,2001,9,8,738,8.2,1,0,1,1,0,0,3,0,0.12,0,0.12,0.12,0.12,Matches
215,Runar Norheim,noNOR,DF,Tromsø,20-121,2005,9,7,553,6.1,0,2,2,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
216,Sondre Norheim,noNOR,DF,Bryne,28-064,1997,6,1,168,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
217,Amin Nouri,noNOR,DF,KFUM Oslo,35-156,1990,8,6,530,5.9,0,1,1,0,0,0,0,0,0,0.17,0.17,0,0.17,Matches
218,Johannes Nunez Godoy,noNOR,"FW,MF",KFUM Oslo,28-183,1996,5,4,275,3.1,2,1,3,2,0,0,0,0,0.65,0.33,0.98,0.65,0.98,Matches
219,Franklin Nyenetue,noNOR,FW,Kristiansund,24-211,2000,2,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
220,Troy Nyhammer,noNOR,MF,Haugesund,18-300,2006,5,3,253,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
221,Sverre Nypan,noNOR,"MF,FW",Rosenborg,18-178,2006,9,7,652,7.2,1,0,1,1,0,0,0,0,0.14,0,0.14,0.14,0.14,Matches
222,Obilor Okeke,noNOR,FW,KFUM Oslo,22-327,2002,4,2,249,2.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
223,Aaron Olsen,noNOR,DF,Vålerenga,24-026,2001,8,6,530,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
224,Marius Olsen,noNOR,DF,Kristiansund,24-032,2001,10,10,816,9.1,0,0,0,0,0,0,0,1,0,0,0,0,0,Matches
225,William Osnes-Ringen,noNOR,MF,HamKam,18-214,2006,6,2,269,3,0,1,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
226,Filip Ottosson,seSWE,MF,Sandefjord,28-276,1996,9,9,810,9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
227,Martin Ove Roseth,noNOR,DF,Viking,26-340,1998,5,5,362,4,1,0,1,1,0,0,3,1,0.25,0,0.25,0.25,0.25,Matches
228,Leonard Owusu,ghGHA,MF,Fredrikstad,28-012,1997,10,10,877,9.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
229,Yaw Paintsil,noNOR,DF,Tromsø,25-300,1999,7,1,172,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
230,Noah Pallas,fiFIN,DF,Vålerenga,24-126,2001,3,1,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
231,Fredrik Pallesen Knudsen,noNOR,DF,Brann,28-289,1996,7,7,558,6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
232,Evangelos Patoulidis,beBEL,MF,Sandefjord,23-264,2001,9,9,764,8.5,1,2,3,1,0,0,1,0,0.12,0.24,0.35,0.12,0.35,Matches
233,Fredrik Pedersen,noNOR,DF,Sandefjord,22-249,2002,5,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
234,Thore Pedersen,noNOR,DF,Brann,28-308,1996,10,8,601,6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
235,Adrian Pereira,noNOR,DF,Rosenborg,25-288,1999,11,11,928,10.3,0,1,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches
236,Ismael Petcho Camara,ciCIV,MF,Haugesund,18-175,2006,7,2,225,2.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
237,Dan Peter Ulvestad,noNOR,DF,Kristiansund,36-072,1989,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
238,Jens Petter Hauge,noNOR,"FW,MF",Bodø/Glimt,25-246,1999,7,6,504,5.6,1,2,3,1,0,1,1,0,0.18,0.36,0.54,0.18,0.54,Matches
239,Aksel Potur,trTUR,MF,HamKam,22-192,2002,8,3,321,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
240,Sigurd Prestmo,noNOR,MF,Tromsø,18-252,2006,2,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
241,Lasse Qvigstad,noNOR,DF,Bryne,21-309,2003,8,7,591,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
242,Luka Racic,dkDEN,DF,Rosenborg,26-038,1999,5,2,119,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
243,Simen Rafn,noNOR,DF,Fredrikstad,33-119,1992,8,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
244,Mikkel Rakneberg,noNOR,DF,Kristiansund,23-107,2002,9,8,668,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
245,Robin Rasch,noNOR,MF,KFUM Oslo,31-156,1994,7,6,499,5.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
246,Peter Reinhardsen,noNOR,DF,Sarpsborg 08,26-055,1999,8,2,273,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
247,Jesper Reitan-Sunde,noNOR,FW,Rosenborg,19-135,2006,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
248,Lars Remmem,noNOR,MF,Brann,19-117,2006,4,0,76,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
249,Magnus Riisnæs,noNOR,MF,Vålerenga,20-223,2004,7,7,577,6.4,2,2,4,2,0,0,3,1,0.31,0.31,0.62,0.31,0.62,Matches
250,Mees Rijks,nlNED,FW,Vålerenga,22-099,2003,10,0,173,1.9,0,1,1,0,0,0,1,0,0,0.52,0.52,0,0.52,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
251,Sander Risan Mørk,noNOR,MF,Sandefjord,24-191,2000,9,7,651,7.2,1,0,1,1,0,0,2,0,0.14,0,0.14,0.14,0.14,Matches
252,Alwande Roaldsøy,noNOR,MF,HamKam,21-006,2004,9,5,462,5.1,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
253,Jakob Romsaas,noNOR,FW,Tromsø,21-030,2004,8,5,393,4.4,1,2,3,1,0,0,2,0,0.23,0.46,0.69,0.23,0.69,Matches
254,Ulrik Saltnes,noNOR,MF,Bodø/Glimt,32-217,1992,8,8,658,7.3,5,1,6,5,0,0,0,0,0.68,0.14,0.82,0.68,0.82,Matches
255,Martin Samuelsen,noNOR,MF,Haugesund,28-059,1997,6,1,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
256,Sverre Sandal,noNOR,MF,KFUM Oslo,22-009,2003,7,6,498,5.5,0,1,1,0,0,0,2,1,0,0.18,0.18,0,0.18,Matches
257,Marcus Sandberg,seSWE,GK,HamKam,34-220,1990,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
258,Niklas Sandberg,noNOR,DF,Sarpsborg 08,30-028,1995,3,1,115,1.3,0,2,2,0,0,0,1,0,0,1.57,1.57,0,1.57,Matches
259,Mads Sande,noNOR,"FW,MF",Brann,27-085,1998,9,6,437,4.9,3,0,3,3,0,0,1,0,0.62,0,0.62,0.62,0.62,Matches
260,Alagie Sanyang,gmGAM,MF,Sarpsborg 08,28-277,1996,7,2,251,2.8,0,1,1,0,0,0,1,0,0,0.36,0.36,0,0.36,Matches
261,Eirik Saunes,noNOR,"MF,DF",Bryne,26-266,1998,7,7,607,6.7,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
262,Emil Schlichting,dkDEN,"MF,FW",Haugesund,20-223,2004,10,6,583,6.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
263,Daniel Schneider,noNOR,DF,KFUM Oslo,23-106,2002,6,3,342,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
264,Alfred Scriven,keKEN,MF,Bryne,27-140,1998,9,9,810,9,2,2,4,2,0,0,2,0,0.22,0.22,0.44,0.22,0.44,Matches
265,Ole Selnæs,noNOR,"MF,DF",Rosenborg,30-343,1994,9,6,555,6.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
266,Niclas Semmen,noNOR,FW,KFUM Oslo,22-214,2002,7,0,114,1.3,1,0,1,1,0,0,1,0,0.79,0,0.79,0.79,0.79,Matches
267,Ismaël Seoné,bfBFA,FW,Haugesund,20-050,2005,7,2,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
268,Japhet Sery,dkDEN,DF,Brann,25-066,2000,10,7,681,7.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
269,Rocco Shein,eeEST,MF,Fredrikstad,21-336,2003,9,1,282,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
270,Aimar Sher,iqIRQ,MF,Sarpsborg 08,22-177,2002,9,9,809,9,0,1,1,0,0,0,0,0,0,0.11,0.11,0,0.11,Matches
271,Samuel Silalahi,noNOR,FW,Strømsgodset,20-013,2005,5,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
272,Gard Simenstad,noNOR,MF,HamKam,26-064,1999,8,6,449,5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
273,Håkon Sjåtil,noNOR,DF,Vålerenga,22-170,2002,9,7,657,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
274,Magnus Sjøeng,noNOR,GK,Vålerenga,23-084,2002,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
275,Fredrik Sjølstad,noNOR,DF,HamKam,31-078,1994,5,5,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
276,Fredrik Sjøvold,noNOR,DF,Bodø/Glimt,21-302,2003,8,8,719,8,1,1,2,1,0,0,1,0,0.13,0.13,0.25,0.13,0.25,Matches
277,Brage Skaret,noNOR,DF,Fredrikstad,23-048,2002,5,2,193,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
278,Vetle Skjærvik,noNOR,DF,Tromsø,24-273,2000,9,9,810,9,2,1,3,2,0,0,4,0,0.22,0.11,0.33,0.22,0.33,Matches
279,Henrik Skogvold,noNOR,FW,Fredrikstad,20-336,2004,10,8,626,7,1,0,1,1,0,1,0,0,0.14,0,0.14,0.14,0.14,Matches
280,Nikolai Skuseth,noNOR,DF,Sarpsborg 08,21-028,2004,2,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
281,Zinedin Smajlovic,seSWE,DF,Sandefjord,21-177,2003,6,5,474,5.3,1,0,1,1,0,0,3,1,0.19,0,0.19,0.19,0.19,Matches
282,Vegard Solheim,noNOR,"DF,MF",Haugesund,20-309,2004,7,6,453,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
283,Joachim Soltvedt,noNOR,DF,Brann,29-279,1995,11,9,814,9,0,2,2,0,0,0,3,0,0,0.22,0.22,0,0.22,Matches
284,Jacob Steffensen,dkDEN,DF,Bryne,23-097,2002,6,6,485,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
285,Halldor Stenevik,noNOR,"DF,MF",Molde,25-133,2000,10,7,656,7.3,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
286,Herman Stengel,noNOR,MF,Strømsgodset,29-293,1995,9,9,773,8.6,1,1,2,1,0,0,0,0,0.12,0.12,0.23,0.12,0.23,Matches
287,Jacob Storevik,noNOR,GK,Vålerenga,28-321,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
288,Snorre Strand Nilsen,noNOR,DF,HamKam,28-152,1997,8,8,675,7.5,1,1,2,1,0,0,2,0,0.13,0.13,0.27,0.13,0.27,Matches
289,Petter Strand,noNOR,"MF,FW",Vålerenga,30-295,1994,8,4,363,4,0,1,1,0,0,0,1,0,0,0.25,0.25,0,0.25,Matches
290,Nicklas Strunck,dkDEN,MF,Bryne,25-302,1999,9,9,760,8.4,2,1,3,2,0,0,3,0,0.24,0.12,0.36,0.24,0.36,Matches
291,Kristian Strømland Lien,noNOR,FW,HamKam,23-258,2001,9,7,571,6.3,2,1,3,2,0,0,2,0,0.32,0.16,0.47,0.32,0.47,Matches
292,Sander Svendsen,noNOR,MF,Viking,27-313,1997,12,12,780,8.7,1,2,3,1,0,0,0,0,0.12,0.23,0.35,0.12,0.35,Matches
293,Adrian Sæther,noNOR,GK,Kristiansund,24-014,2001,9,8,786,8.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
294,Elias Sørensen,dkDEN,MF,Vålerenga,25-270,1999,10,8,586,6.5,3,1,4,3,0,0,3,0,0.46,0.15,0.61,0.46,0.61,Matches
295,Sondre Sørli,noNOR,FW,Bodø/Glimt,29-228,1995,6,1,196,2.2,0,1,1,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches
296,Sondre Sørløkk,noNOR,FW,Fredrikstad,28-038,1997,9,3,391,4.3,3,2,5,3,0,0,0,0,0.69,0.46,1.15,0.69,1.15,Matches
297,Bent Sørmo,noNOR,DF,Strømsgodset,28-266,1996,7,3,371,4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
298,Jesper Tåje,noNOR,DF,Strømsgodset,27-233,1997,6,6,540,6,1,0,1,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches
299,Harald Tangen,noNOR,MF,Sarpsborg 08,24-163,2001,9,9,721,8,2,0,2,2,0,0,1,0,0.25,0,0.25,0.25,0.25,Matches
300,Sander Tangvik,noNOR,GK,Rosenborg,22-198,2002,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
301,Franklin Tebo,ngNGA,DF,Sarpsborg 08,25-151,2000,9,9,810,9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
302,Jonas Therkelsen,noNOR,MF,Strømsgodset,22-041,2003,7,7,545,6.1,2,0,2,2,0,0,1,0,0.33,0,0.33,0.33,0.33,Matches
303,Mats Thornes,noNOR,FW,Bryne,22-294,2002,3,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
304,Stian Thorstensen,noNOR,MF,Vålerenga,19-030,2006,4,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
305,Filip Thorvaldsen,noNOR,MF,Vålerenga,19-061,2006,4,2,241,2.7,1,0,1,1,0,0,1,0,0.37,0,0.37,0.37,0.37,Matches
306,Darrell Tibell,seSWE,FW,Sandefjord,23-115,2002,6,2,180,2,1,1,2,1,0,0,1,0,0.5,0.5,1,0.5,1,Matches
307,Fredrik Tobias Berglie,noNOR,DF,KFUM Oslo,28-169,1996,6,5,436,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
308,Logi Tómasson,isISL,"MF,DF",Strømsgodset,24-275,2000,9,6,511,5.7,1,0,1,1,0,0,2,0,0.18,0,0.18,0.18,0.18,Matches
309,Jonas Torsvik,noNOR,FW,Brann,20-022,2005,4,0,74,0.8,0,1,1,0,0,0,0,0,0,1.22,1.22,0,1.22,Matches
310,Amidou Traoré,ciCIV,MF,Haugesund,20-337,2004,5,0,97,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
311,Zlatko Tripić,noNOR,MF,Viking,32-195,1992,11,9,784,8.7,8,5,13,2,6,6,3,0,0.92,0.57,1.49,0.23,0.8,Matches
312,Kevin Tshiembe,dkDEN,DF,Vålerenga,28-076,1997,7,6,553,6.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
313,David Tufekcic,noNOR,"MF,FW",Kristiansund,21-144,2004,11,11,940,10.4,3,0,3,1,2,2,2,0,0.29,0,0.29,0.1,0.1,Matches
314,Jon-Helge Tveita,noNOR,MF,Bryne,33-139,1992,4,1,79,0.9,0,1,1,0,0,0,1,0,0,1.14,1.14,0,1.14,Matches
315,Mathias Tønnessen,noNOR,DF,KFUM Oslo,21-205,2003,9,9,768,8.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
316,Jošt Urbančič,siSVN,DF,Viking,24-064,2001,7,5,470,5.2,1,0,1,1,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches
317,Santeri Väänänen,fiFIN,"MF,DF",Rosenborg,23-165,2002,8,5,465,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
318,Isak Vådebu,noNOR,MF,Tromsø,21-309,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
319,Gustav Valsvik,noNOR,DF,Strømsgodset,32-020,1993,9,9,810,9,0,1,1,0,0,0,1,0,0,0.11,0.11,0,0.11,Matches
320,Mike Vestergård,dkDEN,MF,Sarpsborg 08,27-208,1997,5,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
321,Viljar Vevatne,noNOR,DF,Viking,30-190,1994,5,2,205,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
322,Lars-Christopher Vilsvik,noNOR,DF,Strømsgodset,36-240,1988,7,6,492,5.5,0,1,1,0,0,0,0,0,0,0.18,0.18,0,0.18,Matches
323,Kasper Waarst Høgh,dkDEN,"FW,MF",Bodø/Glimt,24-191,2000,8,6,500,5.6,7,2,9,6,1,1,0,0,1.26,0.36,1.62,1.08,1.44,Matches
324,Sivert Westerlund,noNOR,DF,Strømsgodset,26-003,1999,4,1,126,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
325,Amund Wichne,noNOR,GK,Haugesund,28-034,1997,9,9,810,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
326,Eirik Wichne,noNOR,DF,Sarpsborg 08,28-034,1997,9,9,776,8.6,0,1,1,0,0,0,0,0,0,0.12,0.12,0,0.12,Matches
327,Maxwell Woledzi,ghGHA,DF,Fredrikstad,23-348,2001,10,10,882,9.8,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
328,Magnus Wolff Eikrem,noNOR,"FW,MF",Molde,34-311,1990,9,8,615,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
329,Ruben Yttergård Jenssen,noNOR,MF,Tromsø,37-042,1988,9,9,810,9,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches
330,Ulrik Yttergård Jenssen,noNOR,DF,Rosenborg,28-333,1996,10,7,613,6.8,1,2,3,1,0,0,2,0,0.15,0.29,0.44,0.15,0.44,Matches
331,Moustafa Zeidan,psPLE,MF,Rosenborg,27-008,1998,8,4,355,3.9,1,1,2,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,Matches
