Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
41,Ieltsin Camões,ptPOR,FW,Tromsø,26-060,1999,4,0,57,0.6,3,0,3,3,0,0,0,0,4.74,0,4.74,4.74,4.74,Matches
42,Christian Cappis,usUSA,MF,Viking,25-306,1999,12,4,537,6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Frederik Carstensen,dkDEN,MF,Sarpsborg 08,23-067,2002,7,5,393,4.4,2,0,2,2,0,0,0,0,0.46,0,0.46,0.46,0.46,Matches
44,Niklas Castro,clCHI,FW,Brann,29-158,1996,6,6,499,5.5,3,1,4,0,3,3,0,0,0.54,0.18,0.72,0,0.18,Matches
45,Emil Ceide,noNOR,FW,Rosenborg,23-285,2001,10,8,726,8.1,2,1,3,2,0,0,2,0,0.25,0.12,0.37,0.25,0.37,Matches
46,Mikkel Ceide,noNOR,DF,Rosenborg,23-285,2001,10,9,874,9.7,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
47,Christopher Cheng,noNOR,DF,Sandefjord,23-231,2001,7,5,484,5.4,2,2,4,2,0,0,0,0,0.37,0.37,0.74,0.37,0.74,Matches
48,Frederik Christensen,dkDEN,FW,Tromsø,24-148,2001,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Ole Christian Sæter,noNOR,FW,Rosenborg,29-077,1996,10,3,336,3.7,1,0,1,1,0,0,2,0,0.27,0,0.27,0.27,0.27,Matches
50,Peter Christiansen,dkDEN,FW,Viking,25-195,1999,12,11,887,9.9,4,1,5,4,0,1,0,0,0.41,0.1,0.51,0.41,0.51,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Sander Christiansen,noNOR,"MF,DF",Sarpsborg 08,24-047,2001,9,8,719,8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
52,Rezan Corlu,dkDEN,MF,Kristiansund,27-312,1997,11,11,779,8.7,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches
53,Leo Cornic,noNOR,"DF,MF",Tromsø,24-164,2001,9,9,810,9,1,1,2,1,0,0,1,0,0.11,0.11,0.22,0.11,0.22,Matches
54,Nicholas D'Agostino,auAUS,FW,Viking,27-110,1998,2,0,60,0.7,0,1,1,0,0,0,0,0,0,1.5,1.5,0,1.5,Matches
55,Daniel Daga,ngNGA,MF,Molde,18-156,2007,5,0,93,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
56,Fredrik Dahl,noNOR,DF,Strømsgodset,26-136,1999,9,8,604,6.7,1,0,1,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches
57,Erlend Dahl Reitan,noNOR,DF,Rosenborg,27-277,1997,11,6,613,6.8,0,1,1,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches
58,Denzel De Roeve,beBEL,DF,Brann,20-309,2004,9,2,286,3.2,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
