Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
483,Jeong Woo-yeong,krKOR,"MF,FW",Union Berlin,24,1999,23,17,"1,263",14,3,2,5,3,0,0,2,0,2.8,2.8,1.7,4.4,32,63,93,0.21,0.14,0.36,0.21,0.36,0.2,0.12,0.31,0.2,0.31,Matches
484,Granit Xhaka,chSUI,MF,Leverkusen,31,1992,33,33,"2,888",32.1,2,7,9,2,0,0,3,0,0.9,0.9,4.4,5.3,42,318,72,0.06,0.22,0.28,0.06,0.28,0.03,0.14,0.17,0.03,0.17,Matches
485,Erencan Yardimci,trTUR,"FW,MF",Hoffenheim,22,2002,8,3,313,3.5,0,0,0,0,0,0,2,0,1,1,0,1,4,4,12,0,0,0,0,0,0.3,0,0.3,0.3,0.3,Matches
486,Dan-Axel Zagadou,frFRA,"DF,MF",Stuttgart,25,1999,2,0,29,0.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
487,David Zec,siSVN,DF,Holstein Kiel,24,2000,18,18,"1,541",17.1,2,0,2,2,0,0,5,0,1.2,1.2,0.5,1.8,3,34,2,0.12,0,0.12,0.12,0.12,0.07,0.03,0.1,0.07,0.1,Matches
488,Robin Zentner,deGER,GK,Mainz 05,29,1994,32,32,"2,880",32,0,0,0,0,0,0,3,0,0,0,0.3,0.3,0,2,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
489,Cedric Zesiger,chSUI,DF,Augsburg,26,1998,15,15,"1,221",13.6,0,2,2,0,0,0,7,1,1.2,1.2,1.3,2.5,4,40,7,0,0.15,0.15,0,0.15,0.09,0.09,0.18,0.09,0.18,Matches
490,Cedric Zesiger,chSUI,DF,Wolfsburg,26,1998,7,5,522,5.8,0,0,0,0,0,0,4,0,0.1,0.1,0,0.1,3,19,2,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
491,Michael Zetterer,deGER,GK,Werder Bremen,29,1995,34,34,"3,060",34,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,Matches
492,Budu Zivzivadze,geGEO,FW,Heidenheim,30,1994,15,10,958,10.6,2,3,5,2,0,0,0,0,1.7,1.7,1.5,3.2,11,20,43,0.19,0.28,0.47,0.19,0.47,0.16,0.14,0.3,0.16,0.3,Matches
