,,,,Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Ayoub El Amloud,maMAR,DF,Persepolis,30,1994,18,11,"1,091",12.1,1,1,2,1,0,0,3,1,0.08,0.08,0.16,0.08,0.16,Matches
52,Sasan Ansari,irIRN,FW,Foolad,33,1991,28,23,"1,962",21.8,4,1,5,3,1,1,6,0,0.18,0.05,0.23,0.14,0.18,Matches
53,Adel Arghand,,FW,Esteghlal Khuz,23,2001,8,5,381,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Adnan As'adi,,MF,SorkhPooshan FC,21,2003,5,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
55,Sina Asad Beigi,irIRN,MF,Persepolis,27,1997,2,2,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Sina Asad Beigi,irIRN,MF,Foolad,27,1997,26,25,"2,246",25.0,1,3,4,1,0,0,2,0,0.04,0.12,0.16,0.04,0.16,Matches
57,Reza Asadi,irIRN,MF,Sepahan,28,1996,22,9,876,9.7,3,2,5,2,1,1,2,0,0.31,0.21,0.51,0.21,0.41,Matches
58,Mohammadreza Asgari,irIRN,DF,Zob Ahan,22,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59,Ali Asghar Ashouri,irIRN,FW,Gol Gohar,35,1988,25,17,"1,423",15.8,0,4,4,0,0,0,3,0,0.00,0.25,0.25,0.00,0.25,Matches
60,Sajjad Ashouri,irIRN,FW,Tractor Sazi,32,1992,19,0,246,2.7,2,0,2,2,0,0,2,0,0.73,0.00,0.73,0.73,0.73,Matches
61,Mohammad Askari,irIRN,MF,Foolad,18,2006,23,4,607,6.7,1,0,1,1,0,0,2,1,0.15,0.00,0.15,0.15,0.15,Matches
62,Mohammad Azadeh,,MF,Shams Azar,24,1999,25,20,"1,721",19.1,1,0,1,1,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches
63,Mohammad Azadeh,,MF,Zob Ahan,24,1999,1,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Mohammadreza Azadi,irIRN,FW,Esteghlal,24,1999,11,9,722,8.0,1,0,1,1,0,0,1,0,0.12,0.00,0.12,0.12,0.12,Matches
65,Ali Azadmanesh,,DF,Shams Azar,29,1994,27,25,"2,156",24.0,3,2,5,0,3,3,4,0,0.13,0.08,0.21,0.00,0.08,Matches
66,Mohsen Azarbad,irIRN,MF,Zob Ahan,34,1989,30,27,"2,085",23.2,4,4,8,4,0,0,1,0,0.17,0.17,0.35,0.17,0.35,Matches
67,Abolfazl Babaei,,FW,Persepolis,20,2003,7,0,125,1.4,0,1,1,0,0,0,0,0,0.00,0.72,0.72,0.00,0.72,Matches
68,Esmaeil Babaei,irIRN,MF,Esteghlal Khuz,27,1997,28,27,"2,401",26.7,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
69,Peyman Babaei,irIRN,FW,Chadormalu SC,30,1994,10,8,575,6.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
70,Peyman Babaei,irIRN,FW,Gol Gohar,30,1994,12,6,570,6.3,1,0,1,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
71,Mohammad Badpa,,MF,Chadormalu SC,21,2003,3,3,181,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
72,Milad Badragheh,irIRN,MF,Aluminium Arak,27,1996,28,28,"2,452",27.2,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches
73,Hadi Baghban,,MF,Zob Ahan,,,6,0,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Farshid Bagheri,irIRN,MF,Mes Rafsanjan,32,1992,12,12,"1,079",12.0,2,1,3,1,1,1,4,0,0.17,0.08,0.25,0.08,0.17,Matches
75,Farshid Bagheri,irIRN,MF,Foolad,32,1992,9,3,349,3.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
76,Mansour Bagheri,,MF,Nassaji,25,1998,30,28,"2,453",27.3,1,1,2,0,1,1,2,0,0.04,0.04,0.07,0.00,0.04,Matches
77,Milad Bagheri,,DF,Malavan,29,1994,18,14,"1,228",13.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches
78,Saeid Bagherpasand,,FW,Gol Gohar,33,1991,4,2,185,2.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79,Amir Bahador,,FW,SorkhPooshan FC,22,2001,1,1,51,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
80,Hamed Bahiraei,irIRN,MF,Esteghlal Khuz,29,1995,15,10,850,9.4,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches
81,Mahdi Bahraminezhad,,MF,Esteghlal,18,2006,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Mohammad Bakhtiari,,DF,Chadormalu SC,32,1992,6,4,395,4.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
83,Yaghoob Barajeh,irIRN,DF,Persepolis,18,2006,10,5,448,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches
84,Behrouz Barani,,FW,Esteghlal Khuz,28,1995,26,22,"1,845",20.5,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Behnam Barzay,irIRN,FW,Mes Rafsanjan,31,1993,10,9,729,8.1,1,1,2,1,0,0,2,0,0.12,0.12,0.25,0.12,0.25,Matches
86,Behnam Barzay,irIRN,FW,Malavan,31,1993,10,9,652,7.2,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches
87,Aria Barzegar,irIRN,FW,Nassaji,21,2002,9,3,339,3.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
88,Tony Batista,brBRA,GK,Kheybar,31,1992,15,15,"1,350",15.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
89,Sajjad Bazgir,,FW,Mes Rafsanjan,30,1994,7,1,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
90,Sajjad Bazgir,,FW,Malavan,30,1994,14,8,664,7.4,0,1,1,0,0,1,1,0,0.00,0.14,0.14,0.00,0.14,Matches
91,Salar Behdari,,GK,Aluminium Arak,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
