Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
26,Jamal Amofa,nlNED,DF,Botev Plovdiv,25,1998,14,13,"1,173",13,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
27,Ivan Andonov,bgBUL,GK,Slavia Sofia,20,2003,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
28,Kristiyan Andonov,bgBUL,FW,PFC Hebar Pazardzhik,23,2000,11,1,224,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
29,Petar Andreev,bgBUL,MF,Loko Plovdiv,20,2004,7,1,173,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
30,Plamen Andreev,bgBUL,GK,Levski Sofia,19,2004,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
31,Yanko Angelov,bgBUL,MF,PFC Hebar Pazardzhik,31,1993,10,6,451,5,0,0,0,0,0,0,2,1,0,0,0,0,0,Matches
32,Ilian Antonov,bgBUL,FW,CSKA Sofia,19,2005,3,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Ante Aralica,hrCRO,FW,Lokomotiv Sofia,28,1996,24,23,"1,930",21.4,16,0,16,13,3,3,3,1,0.75,0,0.75,0.61,0.61,Matches
34,Renan Areias,brBRA,MF,FK Levski 2005,26,1998,2,2,134,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,Renan Areias,brBRA,MF,Cherno More,26,1998,10,6,483,5.4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
36,Valentin Arhipov,bgBUL,FW,Lokomotiv Sofia,16,2008,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
37,Zahari Atanasov,bgBUL,MF,Septemvri Sofia,19,2005,4,3,271,3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
38,Zhivko Atanasov,bgBUL,DF,Cherno More,33,1991,33,33,"2,947",32.7,2,0,2,2,0,0,1,0,0.06,0,0.06,0.06,0.06,Matches
39,Dimitar Avramov,bgBUL,DF,Botev Plovdiv,24,2000,2,0,64,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Martin Bachev,bgBUL,DF,Botev Vratsa,20,2004,22,16,"1,424",15.8,2,0,2,2,0,0,3,0,0.13,0,0.13,0.13,0.13,Matches
