Rk,Player,Nation,Position,Squad,Current age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
21,Yago Cariello,brBRA,FW,Ulsan HD,25-323,1999,5,2,153,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
22,Yago César,brBRA,"MF,FW",FC Anyang,28-020,1997,16,4,673,7.5,1,5,6,1,0,1,0,0,0.13,0.67,0.8,0.13,0.8,Matches
23,Cesinha,brBRA,"MF,FW",Daegu,35-198,1989,9,8,762,8.5,2,3,5,2,0,0,3,0,0.24,0.35,0.59,0.24,0.59,Matches
24,Lim Chaimin,krKOR,DF,Jeju United FC,34-209,1990,13,11,987,11,0,0,0,0,0,0,3,1,0,0,0,0,0,Matches
25,Kim Chan,krKOR,FW,Sangju Sangmu,25-051,2000,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Lee Chan-dong,krKOR,"MF,DF",Daegu,32-156,1993,12,4,505,5.6,0,1,1,0,0,0,3,0,0,0.18,0.18,0,0.18,Matches
27,Han Chan-hee,krKOR,MF,Pohang,28-090,1997,9,3,384,4.3,0,2,2,0,0,0,1,0,0,0.47,0.47,0,0.47,Matches
28,Park Chan-yong,krKOR,DF,Sangju Sangmu,29-139,1996,18,17,"1,538",17.1,0,1,1,0,0,0,0,0,0,0.06,0.06,0,0.06,Matches
29,Kwon Chang-hoon,krKOR,"FW,MF",Jeonbuk Hyundai,30-350,1994,7,0,164,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
30,Lee Chang-keun,krKOR,GK,Daejeon Citizen FC,31-289,1993,18,18,"1,620",18,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
31,Lee Chang-min,krKOR,MF,Jeju United FC,31-146,1994,14,13,"1,111",12.3,1,2,3,1,0,0,1,0,0.08,0.16,0.24,0.08,0.24,Matches
32,Sin Chang-moo,krKOR,"MF,FW",Gwangju FC,32-271,1992,5,2,152,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
33,Ha Chang-rae,krKOR,DF,Daejeon Citizen FC,30-242,1994,12,12,"1,047",11.6,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
34,Rim Chang-woo,krKOR,"DF,MF",Jeju United FC,33-122,1992,7,5,431,4.8,0,1,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches
35,Lee Chang-yong,krKOR,DF,FC Anyang,34-292,1990,19,17,"1,576",17.5,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
36,An Changi,krKOR,GK,Jeju United FC,27-070,1998,4,3,282,3.1,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
37,Lee Changwoo,krKOR,MF,Pohang,19-095,2006,4,2,131,1.5,0,1,1,0,0,0,0,0,0,0.69,0.69,0,0.69,Matches
38,Park Cheolwoo,krKOR,"DF,FW",Suwon FC,27-237,1997,4,3,284,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
39,Jung Chiin,krKOR,"FW,MF",Daegu,27-298,1997,14,9,896,10,2,0,2,2,0,0,3,0,0.2,0,0.2,0.2,0.2,Matches
40,Choi Chiung,krKOR,FW,Suwon FC,23-326,2001,6,1,116,1.3,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
41,Hong Chul,krKOR,DF,Gangwon,34-271,1990,12,8,636,7.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
42,Choi Chul-soon,krKOR,DF,Jeonbuk Hyundai,38-127,1987,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
43,Lee Chung-yong,krKOR,"MF,FW",Ulsan HD,36-348,1988,15,10,780,8.7,2,1,3,2,0,0,0,0,0.23,0.12,0.35,0.23,0.35,Matches
44,Andrea Compagno,itITA,FW,Jeonbuk Hyundai,29-054,1996,12,11,861,9.6,5,1,6,4,1,1,3,0,0.52,0.1,0.63,0.42,0.52,Matches
45,Mario Čuže,hrCRO,MF,Gangwon,26-052,1999,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Kim Da-sol,krKOR,GK,FC Anyang,36-162,1989,16,16,"1,432",15.9,0,0,0,0,0,0,1,1,0,0,0,0,0,Matches
47,Park Daehoon,krKOR,FW,Daegu,29-077,1996,12,6,515,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Kim Daewon,krKOR,MF,Sangju Sangmu,28-125,1997,11,1,312,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
49,Park Daewon,krKOR,DF,Sangju Sangmu,27-110,1998,3,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
50,Kim Daewoo,krKOR,MF,Gangwon,24-195,2000,11,10,871,9.7,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
51,Denilson,brBRA,FW,Jeju United FC,24-265,2000,4,0,105,1.2,1,0,1,1,0,0,0,0,0.86,0,0.86,0.86,0.86,Matches
52,Luan Dias,brBRA,"MF,FW",Suwon FC,27-319,1997,15,14,"1,179",13.1,1,0,1,1,0,0,4,0,0.08,0,0.08,0.08,0.08,Matches
53,Kim Dohyun,krKOR,MF,Gangwon,21-034,2004,8,1,132,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Kim Dong-jin,krKOR,DF,FC Anyang,32-169,1992,5,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
55,Park Dong-jin,krKOR,"FW,MF",Jeju United FC,30-187,1994,9,5,343,3.8,0,0,0,0,0,1,2,0,0,0,0,0,0,Matches
56,Kim Dong-jun,krKOR,GK,Jeju United FC,30-178,1994,15,15,"1,338",14.9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
57,Ji Dong-won,krKOR,FW,Suwon FC,34-018,1991,7,4,332,3.7,0,1,1,0,0,0,0,0,0,0.27,0.27,0,0.27,Matches
