Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG,Matches
583,Carlo Soldati,mxMEX,DF,Querétaro,19,2005,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
584,Ramiro Sordo,arARG,"FW,MF",Santos,24,2000,29,24,"2,083",23.1,3,3,6,3,0,0,6,0,3,3,4.2,7.2,75,42,175,0.13,0.13,0.26,0.13,0.26,0.13,0.18,0.31,0.13,0.31,Matches
585,Samuel Sosa,veVEN,FW,Querétaro,24,1999,13,7,638,7.1,1,1,2,1,0,0,4,0,1.5,1.5,0.9,2.5,6,10,24,0.14,0.14,0.28,0.14,0.28,0.22,0.13,0.35,0.22,0.35,Matches
586,Leonardo Suárez,arARG,"FW,MF",UNAM,28,1996,11,10,706,7.8,1,1,2,1,0,0,0,0,0.8,0.8,1.9,2.7,13,35,48,0.13,0.13,0.25,0.13,0.25,0.1,0.24,0.35,0.1,0.35,Matches
587,Alessandro Tagle,mxMEX,DF,Monterrey,19,2005,1,1,61,0.7,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,1,3,0,0,0,0,0,0,0.24,0.24,0,0.24,Matches
588,Fernando Tapia,mxMEX,GK,UANL,23,2001,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
589,Miguel Tapias,mxMEX,DF,Guadalajara,27,1997,9,9,800,8.9,0,0,0,0,0,0,2,1,0.1,0.1,0.1,0.3,5,18,2,0,0,0,0,0,0.01,0.01,0.03,0.01,0.03,Matches
590,Juan Tejeda,mxMEX,DF,Santos,20,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
591,Eduardo Tercero,mxMEX,DF,UANL,28,1996,1,0,39,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
592,Iván Tona,mxMEX,MF,Tijuana,24,2000,28,20,"1,888",21,1,2,3,1,0,0,6,0,1.4,1.4,1.1,2.5,33,150,60,0.05,0.1,0.14,0.05,0.14,0.07,0.05,0.12,0.07,0.12,Matches
593,Alan Torres,mxMEX,MF,Mazatlán,24,2000,20,13,"1,118",12.4,0,1,1,0,0,0,3,0,0.6,0.6,0.6,1.1,12,78,10,0,0.08,0.08,0,0.08,0.05,0.05,0.09,0.05,0.09,Matches
594,Dylan Torres,mxMEX,MF,Puebla,20,2004,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
595,Jairo Torres,mxMEX,"MF,FW",FC Juárez,24,2000,31,29,"2,544",28.3,3,2,5,3,0,0,8,0,3.8,3.8,2.6,6.4,103,112,194,0.11,0.07,0.18,0.11,0.18,0.14,0.09,0.23,0.14,0.23,Matches
596,Óliver Torres,esESP,"MF,FW",Monterrey,29,1994,27,24,"1,808",20.1,3,2,5,3,0,0,1,1,1.7,1.7,3.2,4.9,38,162,134,0.15,0.1,0.25,0.15,0.25,0.09,0.16,0.25,0.09,0.25,Matches
597,Román Torres,mxMEX,"DF,MF",Atlético,19,2004,12,12,"1,056",11.7,1,2,3,1,0,0,1,0,0.7,0.7,1,1.7,23,39,66,0.09,0.17,0.26,0.09,0.26,0.06,0.09,0.14,0.06,0.14,Matches
598,Román Torres,mxMEX,"DF,FW",Necaxa,19,2004,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
599,Santiago Trigos,mxMEX,MF,UNAM,22,2002,20,7,764,8.5,1,2,3,1,0,0,2,0,0.3,0.3,1,1.3,8,42,11,0.12,0.24,0.35,0.12,0.35,0.04,0.12,0.15,0.04,0.15,Matches
600,Ezequiel Unsain,arARG,GK,Necaxa,29,1995,34,34,"3,060",34,0,1,1,0,0,0,2,0,0.1,0.1,1.5,1.6,0,5,1,0,0.03,0.03,0,0.03,0,0.05,0.05,0,0.05,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
601,Héctor Uribe,mxMEX,FW,León,20,2004,4,0,44,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,0,0,0,0,0,0.07,0,0.07,0.07,0.07,Matches
602,Diego Valdés,clCHI,"MF,FW",América,30,1994,22,9,940,10.4,0,3,3,0,0,0,0,0,2.5,2.5,4.5,7.1,38,94,71,0,0.29,0.29,0,0.29,0.24,0.43,0.68,0.24,0.68,Matches
603,Christian Valdivia,mxMEX,DF,Cruz Azul,18,2005,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
604,Aldieri Valenzuela,mxMEX,"FW,MF",Tijuana,21,2003,1,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Matches
605,Francisco Valenzuela,mxMEX,MF,Monterrey,17,2007,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0.2,3,1,2,0,0,0,0,0,0,0.34,0.34,0,0.34,Matches
606,Diego Valoyes,coCOL,"FW,MF",FC Juárez,27,1996,11,7,630,7,1,1,2,1,0,0,1,0,2.1,2.1,1.6,3.7,26,15,56,0.14,0.14,0.29,0.14,0.29,0.3,0.23,0.53,0.3,0.53,Matches
607,Camilo Vargas,coCOL,GK,Atlas,35,1989,31,31,"2,790",31,0,0,0,0,0,0,2,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
608,William Vargas,ecECU,DF,Mazatlán,27,1997,4,1,163,1.8,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,4,12,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
609,Brandon Vazquez,usUSA,"FW,MF",Monterrey,25,1998,16,6,554,6.2,3,1,4,2,1,1,0,0,4.9,4.1,1.6,5.7,10,4,31,0.49,0.16,0.65,0.32,0.49,0.79,0.26,1.05,0.66,0.92,Matches
610,Brayton Vázquez,mxMEX,DF,Querétaro,26,1998,4,4,293,3.3,0,0,0,0,0,0,0,0,0,0,0,0,3,11,3,0,0,0,0,0,0,0,0,0,0,Matches
611,Miguel Vázquez,mxMEX,DF,América,20,2004,12,9,882,9.8,0,0,0,0,0,0,1,0,0.8,0.8,0.1,0.9,1,18,3,0,0,0,0,0,0.08,0.02,0.09,0.08,0.09,Matches
612,Alexis Vega,mxMEX,"FW,MF",Toluca,26,1997,34,31,"2,510",27.9,12,11,23,10,2,2,5,0,8.3,6.7,8.4,15.1,96,202,173,0.43,0.39,0.82,0.36,0.75,0.3,0.3,0.6,0.24,0.54,Matches
613,Jesús Vega,mxMEX,"FW,DF",Tijuana,24,2000,14,8,694,7.7,2,3,5,2,0,0,0,0,0.3,0.3,1.6,1.9,14,25,39,0.26,0.39,0.65,0.26,0.65,0.04,0.21,0.24,0.04,0.24,Matches
614,Sebastián Vegas,clCHI,DF,Monterrey,27,1996,10,7,629,7,0,1,1,0,0,0,2,1,0.3,0.3,0.7,1,8,39,16,0,0.14,0.14,0,0.14,0.04,0.11,0.14,0.04,0.14,Matches
615,Christo Vela,mxMEX,"MF,FW",América,20,2004,2,0,79,0.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,2,3,4,0,0,0,0,0,0.1,0.24,0.34,0.1,0.34,Matches
616,Kevin Velasco,coCOL,"MF,DF",Puebla,27,1997,8,4,336,3.7,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1,12,11,20,0,0,0,0,0,0.05,0.21,0.27,0.05,0.27,Matches
617,Jesús Venegas,mxMEX,"MF,FW",FC Juárez,29,1995,10,4,374,4.2,1,1,2,1,0,0,1,0,0.6,0.6,0.1,0.7,1,13,8,0.24,0.24,0.48,0.24,0.48,0.15,0.02,0.17,0.15,0.17,Matches
618,Sebastián Venegas,mxMEX,MF,UNAM,19,2005,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
619,Patrick Villa,mxMEX,DF,América,20,2003,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
620,Jonatan Villal,usUSA,"FW,MF",Atlético,19,2005,6,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0.1,0.1,6,7,13,0,0,0,0,0,0.03,0.17,0.2,0.03,0.2,Matches
621,Fran Villalba,esESP,"MF,FW",Santos,26,1998,25,17,"1,284",14.3,1,3,4,1,0,0,1,0,1.4,1.4,2.5,3.8,27,73,52,0.07,0.21,0.28,0.07,0.28,0.1,0.17,0.27,0.1,0.27,Matches
622,Dieter Villalpando,mxMEX,"MF,FW",FC Juárez,32,1991,32,24,"1,946",21.6,2,2,4,2,0,0,3,0,1.9,1.9,2,3.9,44,149,105,0.09,0.09,0.18,0.09,0.18,0.09,0.09,0.18,0.09,0.18,Matches
623,Isaías Violante,mxMEX,"FW,MF",Toluca,20,2003,25,13,"1,216",13.5,6,4,10,6,0,0,4,0,3.8,3.8,1.4,5.2,49,22,82,0.44,0.3,0.74,0.44,0.74,0.28,0.1,0.38,0.28,0.38,Matches
624,Vitinho,brBRA,"FW,MF",Atlético,23,2001,24,19,"1,690",18.8,6,2,8,6,0,0,4,0,3.5,3.5,2.3,5.7,61,48,121,0.32,0.11,0.43,0.32,0.43,0.18,0.12,0.3,0.18,0.3,Matches
625,Tiago Volpi,brBRA,GK,Toluca,33,1990,19,19,"1,710",19,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0,1,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
626,Facundo Waller,uyURU,MF,Puebla,27,1997,27,16,"1,577",17.5,2,2,4,2,0,0,8,1,1.8,1.8,1.7,3.5,32,71,58,0.11,0.11,0.23,0.11,0.23,0.1,0.1,0.2,0.1,0.2,Matches
627,Teun Wilke,mxMEX,FW,Guadalajara,22,2002,9,6,537,6,2,1,3,2,0,0,3,0,1.5,1.5,0.7,2.2,4,7,28,0.34,0.17,0.5,0.34,0.5,0.26,0.11,0.37,0.26,0.37,Matches
628,Édgar Yoel Bárcenas,paPAN,"MF,FW",Mazatlán,30,1993,24,23,"2,003",22.3,0,3,3,0,0,0,2,0,2.6,2.6,4.6,7.2,78,116,135,0,0.13,0.13,0,0.13,0.12,0.21,0.32,0.12,0.32,Matches
