Rk,Player,Nation,Position,Squad,Age,Year of birth,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
31,Rahul Bheke,inIND,DF,Bengaluru,33,1990,21,21,"1,890",21,3,0,3,3,0,0,7,0,0.14,0,0.14,0.14,0.14,Matches
32,Namgyal Bhutia,inIND,DF,Bengaluru,24,1999,5,3,286,3.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
33,Sagolsem Bikash Singh,inIND,"FW,MF",Mohammedan,23,2001,21,10,998,11.1,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches
34,Dippendu Biswas,inIND,DF,Mohun Bagan,21,2003,14,11,956,10.6,1,2,3,1,0,0,2,0,0.09,0.19,0.28,0.09,0.28,Matches
35,Gaurav Bora,inIND,DF,Mohammedan,26,1998,15,12,"1,064",11.8,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
36,Rowllin Borges,inIND,MF,Goa,32,1992,12,8,636,7.1,0,1,1,0,0,0,0,0,0,0.14,0.14,0,0.14,Matches
37,Subashish Bose,inIND,DF,Mohun Bagan,28,1995,22,22,"1,952",21.7,6,1,7,6,0,0,7,0,0.28,0.05,0.32,0.28,0.32,Matches
38,Hugo Boumous,frFRA,MF,Odisha,29,1995,21,20,"1,740",19.3,6,7,13,6,0,0,6,0,0.31,0.36,0.67,0.31,0.67,Matches
39,Lukas Brambilla,brBRA,"MF,FW",Chennaiyin,29,1995,21,13,"1,228",13.6,4,4,8,3,1,1,2,0,0.29,0.29,0.59,0.22,0.51,Matches
40,Pedro Capó,esESP,MF,Bengaluru,33,1990,20,18,"1,590",17.7,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Richard Celis,veVEN,"MF,FW",East Bengal,28,1996,6,4,416,4.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches
42,Souvik Chakrabarti,inIND,MF,East Bengal,37,1987,20,18,"1,556",17.3,0,0,0,0,0,0,6,1,0,0,0,0,0,Matches
43,Fredy Chawngthansanga,inIND,FW,NorthEast Utd,21,2003,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Lalhriatpuia Chawngthu,inIND,MF,Jamshedpur,19,2005,1,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Padam Chettri,inIND,GK,Mohammedan,27,1997,17,17,"1,530",17,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Lallianzuala Chhangte,inIND,"FW,MF",Mumbai City,26,1997,23,23,"2,008",22.3,6,3,9,4,2,2,2,0,0.27,0.13,0.4,0.18,0.31,Matches
47,Ayush Chhetri,inIND,MF,Goa,21,2003,21,14,"1,195",13.3,1,2,3,1,0,0,3,0,0.08,0.15,0.23,0.08,0.23,Matches
48,Sunil Chhetri,inIND,FW,Bengaluru,39,1984,23,17,"1,648",18.3,11,2,13,7,4,5,0,0,0.6,0.11,0.71,0.38,0.49,Matches
49,Ayush Chhikara,inIND,FW,Mumbai City,22,2002,7,1,132,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches
50,Daniel Chima Chukwu,ngNGA,FW,Chennaiyin,33,1991,22,7,782,8.7,6,1,7,6,0,0,2,0,0.69,0.12,0.81,0.69,0.81,Matches
